Boot
MPU WHO=0x68
MPU init OK
Keep robot still...
Gyro calibration done
gx_bias=-176 gy_bias=-50 gz_bias=-14
Init OK
pitch_ofs=4500 Kx=0 Kv=0 Kp=950 Kd=70 rate_lim=180000 dt_ms=5 twi_hz=400000 brake=sel
st,enc_vel,est,rate,rate_ctl,err,kp_term,kd_term,kw_term,cmd_nom,cap_boost,cmd,brk,ctrl_dt_us,ctrl_exec_us,ARMED,ARM_WIN,CAP_TRIG,CAP_ACTIVE,CAP_DIV,CAP_BODY_DIV,CAP_ENTRY_PEND,CAP_EXIT_PEND,ANG_HI,VEL_HI,RATE_HI,CMD_HI,ENC_INV_A,ENC_INV_B,BOOST_POS,BOOST_NEG
2080,0,32641,151,151,-32641,3100,-1,0,3099,0,1000,0,5000,1656,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32645,-45,-45,-32645,3101,0,0,3101,0,1000,0,5000,1636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32644,15,15,-32644,3101,0,0,3101,0,1000,0,5000,1628,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32645,0,0,-32645,3101,0,0,3101,0,1000,0,5000,1580,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32645,15,15,-32645,3101,0,0,3101,0,1000,0,5000,1624,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32650,-45,-45,-32650,3101,0,0,3101,0,1000,0,5000,1636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32648,-45,-45,-32648,3101,0,0,3101,0,1000,0,5000,1636,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32651,-469,-469,-32651,3101,3,0,3104,0,1000,0,5000,1672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32647,121,121,-32647,3101,0,0,3101,0,1000,0,5000,1648,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32653,-212,-212,-32653,3102,1,0,3103,0,1000,0,5000,1652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32643,-393,-393,-32643,3101,2,0,3103,0,1000,0,5000,1656,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32639,-272,-272,-32639,3100,1,0,3101,0,1000,0,5000,1640,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32636,-151,-151,-32636,3100,1,0,3101,0,1000,0,5000,1656,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32641,-166,-166,-32641,3100,1,0,3101,0,1000,0,5000,1648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32634,-242,-242,-32634,3100,1,0,3101,0,1000,0,5000,1660,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32626,15,15,-32626,3099,0,0,3099,0,1000,0,5000,1628,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32625,-818,-818,-32625,3099,5,0,3104,0,1000,0,5000,1672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32631,287,287,-32631,3099,-2,0,3097,0,1000,0,5000,1668,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32658,-1409,-1409,-32658,3102,9,0,3111,0,1000,0,5000,1672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32687,257,257,-32687,3105,-1,0,3104,0,1000,0,5000,1640,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32707,-60,-60,-32707,3107,0,0,3107,0,1000,0,5000,1640,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32692,-2439,-2439,-32692,3105,17,0,3122,0,1000,0,5000,1688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,32597,1666,1666,-32597,3096,-11,0,3085,0,1000,0,5000,1668,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,32587,-1060,-1060,-32587,3095,7,0,3102,0,1000,0,5000,1660,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,32565,-6363,-6363,-32565,3093,44,0,3137,0,1000,0,5000,1704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3072,0,32420,-11333,-11333,-32420,3079,79,0,3158,0,1000,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,32122,-11257,-11257,-32122,3051,78,0,3129,0,1000,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,31973,-15075,-15075,-31973,3037,105,0,3142,0,1000,0,5000,1724,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,31645,-27696,-27696,-31645,3006,193,0,3199,0,1000,0,5000,1708,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,31035,-40121,-40121,-31035,2948,280,0,3228,0,1000,0,5000,1732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,30167,-44454,-44454,-30167,2865,311,0,3176,0,1000,0,5000,1736,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,29006,-36151,-36151,-29006,2755,253,0,3008,0,1000,0,5000,1732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,28281,-30075,-30075,-28281,2686,210,0,2896,0,1000,0,4996,1740,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,27821,-30681,-30681,-27821,2642,214,0,2856,0,1000,0,5000,1744,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,26991,-37848,-37848,-26991,2564,264,0,2828,0,1000,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,26182,-43212,-43212,-26182,2487,302,0,2789,0,1000,0,5000,1720,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,25488,-45651,-45651,-25488,2421,319,0,2740,0,1000,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,24283,-42166,-42166,-24283,2306,295,0,2601,0,1000,0,5000,1724,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,23621,-39272,-39272,-23621,2243,274,0,2517,0,1000,0,5000,1720,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,22591,-38727,-38727,-22591,2146,271,0,2417,0,1000,0,5000,1732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,21970,-38515,-38515,-21970,2087,269,0,2356,0,1000,0,5000,1732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,21139,-38393,-38393,-21139,2008,268,0,2276,0,1000,0,5000,1740,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,20325,-37924,-37924,-20325,1930,265,0,2195,0,1000,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,19283,-33333,-33333,-19283,1831,233,0,2064,0,1000,0,5000,1712,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,18587,-24696,-24696,-18587,1765,172,0,1937,0,1000,0,5000,1708,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,18069,-21878,-21878,-18069,1716,153,0,1869,0,1000,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,17703,-23015,-23015,-17703,1681,161,0,1842,0,1000,0,5000,1736,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,17061,-26636,-26636,-17061,1620,186,0,1806,0,1000,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,16621,-28015,-28015,-16621,1578,196,0,1774,0,1000,0,5000,1740,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,15861,-26712,-26712,-15861,1506,186,0,1692,0,1000,0,5000,1704,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,15425,-25303,-25303,-15425,1465,177,0,1642,0,1000,0,5000,1732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,14869,-27166,-27166,-14869,1412,190,0,1602,0,1000,0,5000,1724,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,14106,-30712,-30712,-14106,1340,214,0,1554,0,1000,0,5000,1744,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,13592,-31666,-31666,-13592,1291,221,0,1512,0,1000,0,5000,1736,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,12721,-25257,-25257,-12721,1208,176,0,1384,0,1000,0,5000,1716,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,12202,-13848,-13848,-12202,1159,96,0,1255,0,1000,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,11961,-8636,-8636,-11961,1136,60,0,1196,0,1000,0,5000,1708,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,11757,-8303,-8303,-11757,1116,58,0,1174,0,1000,0,5000,1708,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,11521,-9121,-9121,-11521,1094,63,0,1157,0,1000,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2048,0,11263,-5151,-5151,-11263,1069,36,0,1105,0,1000,0,5000,1696,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,11125,-2318,-2318,-11125,1056,16,0,1072,0,1000,0,5000,1676,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,11052,378,378,-11052,1049,-2,0,1047,0,1000,0,5000,1668,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,11042,-2500,-2500,-11042,1048,17,0,1065,0,1000,0,5000,1680,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3072,0,10983,-8181,-8181,-10983,1043,57,0,1100,0,1000,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,10673,-14151,-14151,-10673,1013,99,0,1112,0,1000,0,5000,1720,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,10342,-12696,-12696,-10342,982,88,0,1070,0,1000,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,10124,-10848,-10848,-10124,961,75,0,1036,0,1000,0,5000,1692,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,9879,-9439,-9439,-9879,938,66,0,1004,0,1000,0,5000,1720,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,9596,-9939,-9939,-9596,911,69,0,980,0,980,0,5000,1712,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,9348,-8181,-8181,-9348,888,57,0,945,0,945,0,5000,1728,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2048,0,9164,-3257,-3257,-9164,870,22,0,892,0,892,0,5000,1692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,9084,-1030,-1030,-9084,862,7,0,869,0,869,0,5000,1660,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,9041,-954,-954,-9041,858,6,0,864,0,864,0,5000,1680,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,9011,-1484,-1484,-9011,856,10,0,866,0,866,0,5000,1684,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,8960,-4060,-4060,-8960,851,28,0,879,0,879,0,5000,1712,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3072,0,8775,-9772,-9772,-8775,833,68,0,901,0,901,0,5000,1696,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,8528,-9484,-9484,-8528,810,66,0,876,0,876,0,5000,1688,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2048,0,8323,-6348,-6348,-8323,790,44,0,834,0,834,0,5000,1692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,8220,-6075,-6075,-8220,780,42,0,822,0,822,0,5000,1720,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3072,0,8027,-8818,-8818,-8027,762,61,0,823,0,823,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,7818,-10863,-10863,-7818,742,76,0,818,0,818,0,5000,1716,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,7559,-12545,-12545,-7559,718,87,0,805,0,805,0,5000,1684,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,7341,-12348,-12348,-7341,697,86,0,783,0,783,0,5000,1700,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3072,0,7010,-8030,-8030,-7010,665,56,0,721,0,721,0,5000,1720,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2048,0,6838,-3818,-3818,-6838,649,26,0,675,0,675,0,5000,1700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,6750,-3727,-3727,-6750,641,26,0,667,0,667,0,5000,1700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,6646,-6454,-6454,-6646,631,45,0,676,0,676,0,5000,1696,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,6481,-6757,-6757,-6481,615,47,0,662,0,662,0,5000,1696,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,6355,-4878,-4878,-6355,603,34,0,637,0,637,0,5000,1692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,6240,-1575,-1575,-6240,592,11,0,603,0,603,0,5000,1680,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,6199,651,651,-6199,588,-4,0,584,0,584,0,5000,1668,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,6198,-954,-954,-6198,588,6,0,594,0,594,0,5000,1680,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,6120,-5575,-5575,-6120,581,39,0,620,0,620,0,5000,1704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5974,-6121,-6121,-5974,567,42,0,609,0,609,0,5000,1712,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5836,-3621,-3621,-5836,554,25,0,579,0,579,0,5000,1684,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5755,-1045,-1045,-5755,546,7,0,553,0,553,0,5000,1668,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5734,-772,-772,-5734,544,5,0,549,0,549,0,5000,1652,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5701,-3015,-3015,-5701,541,21,0,562,0,562,0,5000,1704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5576,-5000,-5000,-5576,529,35,0,564,0,564,0,5000,1688,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5455,-3393,-3393,-5455,518,23,0,541,0,541,0,5000,1676,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5388,-1621,-1621,-5388,511,11,0,522,0,522,0,5000,1680,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2080,0,5353,969,969,-5353,508,-6,0,502,0,502,0,5000,1672,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2048,0,5362,-333,-333,-5362,509,2,0,511,0,511,0,5000,1660,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5337,-2787,-2787,-5337,507,19,0,526,0,526,0,5000,1692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5255,-3833,-3833,-5255,499,26,0,525,0,525,0,5000,1708,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5162,-3060,-3060,-5162,490,21,0,511,0,511,0,5000,1704,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5091,-2060,-2060,-5091,483,14,0,497,0,497,0,5000,1664,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2048,0,5042,-3121,-3121,-5042,478,21,0,499,0,499,0,5000,1680,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4988,-4272,-4272,-4988,473,29,0,502,0,502,0,5000,1680,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4854,-5151,-5151,-4854,461,36,0,497,0,497,0,5000,1692,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4735,-5015,-5015,-4735,449,35,0,484,0,484,0,5000,1708,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4624,-3909,-3909,-4624,439,27,0,466,0,466,0,5000,1692,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4541,-1954,-1954,-4541,431,13,0,444,0,444,0,5000,1680,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4508,-681,-681,-4508,428,4,0,432,0,432,0,5000,1664,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4494,-1424,-1424,-4494,426,9,0,435,0,435,0,5000,1668,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4448,-3318,-3318,-4448,422,23,0,445,0,445,0,5000,1696,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4372,-3333,-3333,-4372,415,23,0,438,0,438,0,5000,1676,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4314,-2181,-2181,-4314,409,15,0,424,0,424,0,5000,1672,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4272,-136,-136,-4272,405,0,0,405,0,405,0,5000,1632,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2082,0,4261,121,121,-4261,404,0,0,404,0,404,0,5000,1648,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2082,0,4257,136,136,-4257,404,0,0,404,0,404,0,5000,1628,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2050,0,4252,-333,-333,-4252,403,2,0,405,0,405,0,5000,1660,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4234,-378,-378,-4234,402,2,0,404,0,404,0,5000,1668,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4220,-409,-409,-4220,400,2,0,402,0,402,0,4996,1660,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4211,-681,-681,-4211,400,4,0,404,0,404,0,5000,1668,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4181,-742,-742,-4181,397,5,0,402,0,402,0,5000,1672,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2082,0,4161,439,439,-4161,395,-3,0,392,0,392,0,5000,1672,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2082,0,4168,939,939,-4168,395,-6,0,389,0,389,0,5000,1680,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2050,0,4178,-151,-151,-4178,396,1,0,397,0,397,0,5000,1652,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4154,-2196,-2196,-4154,394,15,0,409,0,409,0,5000,1668,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4099,-2151,-2151,-4099,389,15,0,404,0,404,0,5000,1684,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4056,-848,-848,-4056,385,5,0,390,0,390,0,5000,1660,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050,0,4048,-772,-772,-4048,384,5,0,389,0,389,0,5000,1656,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,50,4016,-1924,-1924,-1016,96,13,0,109,0,109,0,5000,1736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,421,3629,-19181,-19181,-629,59,134,0,193,0,193,0,5008,1848,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1073,1001,2972,-41560,-41560,28,-2,290,0,288,0,288,0,5004,1864,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
3633,2409,710,-96060,-96060,2007,-190,672,0,482,0,482,0,5000,1952,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
1585,3163,-1556,-148393,-148393,3971,-377,1038,-506,155,0,155,0,5000,1968,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
1585,2237,-4248,-92606,-92606,6160,-585,648,0,63,0,63,0,5000,1904,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
1585,1704,-4840,-45939,-45939,6450,-612,321,0,-291,0,-291,0,5000,1880,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
3073,-436,-4797,18924,18924,6005,-570,-132,0,-702,0,-702,0,5000,1868,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3585,-4652,-667,204530,180000,1372,-130,-1260,600,-790,0,-790,0,5000,2112,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1585,-6898,4868,286772,180000,-4566,433,-1260,600,-227,0,-227,0,4996,2180,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
1585,-6322,9316,309984,180000,-9316,885,-1260,600,225,0,225,3,5004,2104,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
3633,-3623,12541,174833,174833,-12541,1191,-1223,579,547,0,547,4,5000,1956,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
3073,543,12395,-14196,-14196,-12395,1177,99,0,1276,0,1000,0,5000,1824,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3585,5941,7557,-220545,-180000,-7557,717,1260,-600,1377,0,1000,0,5000,2112,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3585,8897,1220,-326909,-180000,-1220,115,1260,-600,775,0,775,0,4996,2312,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1585,9699,-6637,-377878,-180000,6637,-630,1260,-600,30,0,30,1,4992,2196,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
3633,7639,-11914,-345924,-180000,11914,-1131,1260,-600,-471,0,-471,3,4992,2096,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
3633,4568,-15282,-153348,-153348,15282,-1451,1073,-600,-978,0,-978,4,5000,1964,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
3585,-2422,-13278,147500,147500,13278,-1261,-1032,0,-2293,0,-1000,0,4992,1968,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3585,-6576,-7883,276666,180000,7883,-748,-1260,600,-1408,0,-1000,0,5000,2140,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3585,-9259,-405,388030,180000,405,-38,-1260,600,-698,0,-698,0,5008,2308,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1585,-9638,7379,414439,180000,-7379,701,-1260,600,41,0,41,3,5000,2168,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
3633,-6607,14377,371681,180000,-14377,1365,-1260,600,705,0,705,3,4984,2088,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
3633,-4100,17192,170833,170833,-17192,1633,-1195,600,1038,0,1000,4,5000,1952,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0
3585,1772,16623,-61893,-61893,-16623,1579,433,0,2012,0,1000,0,5000,1896,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3585,6888,11565,-220272,-180000,-11565,1098,1260,-600,1758,0,1000,0,4984,2192,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3585,8928,7066,-281924,-180000,-7066,671,1260,-600,1331,0,1000,0,5008,2240,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
