Boot
MPU WHO=0x68
MPU init OK
Keep robot still...
Gyro calibration done
gx_bias=-176 gy_bias=-50 gz_bias=-14
Init OK
pitch_ofs=4500 Kx=0 Kv=0 Kp=950 Kd=70 rate_lim=180000 dt_ms=5 twi_hz=400000 brake=sel
st,enc_vel,est,rate,rate_ctl,err,kp_term,kd_term,kw_term,cmd_nom,cap_boost,cmd,brk,ctrl_dt_us,ctrl_exec_us,ARMED,ARM_WIN,CAP_TRIG,CAP_ACTIVE,CAP_DIV,CAP_BODY_DIV,CAP_ENTRY_PEND,CAP_EXIT_PEND,ANG_HI,VEL_HI,RATE_HI,CMD_HI,ENC_INV_A,ENC_INV_B,BOOST_POS,BOOST_NEG
3601,6975,-974,70075,70075,974,-92,-490,-600,-1182,0,-1000,4,5000,2072,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
3617,3334,3145,223409,180000,-3145,298,-1260,-533,-1495,0,-1000,4,5000,1860,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
3601,-1843,7901,-495742,-180000,-7901,750,1260,0,2010,0,1000,0,5008,1952,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
3089,-489,8443,-31287,-31287,-8443,802,219,0,1021,0,1000,0,5000,1812,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
3585,1870,5930,-48727,-48727,-5930,563,341,0,904,0,904,0,5000,1904,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3585,4447,7973,-39833,-39833,-7973,757,278,-600,435,0,435,0,5000,1980,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3585,4206,9221,-16954,-16954,-9221,875,118,-600,393,0,393,4,5000,1956,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3617,1461,13756,118636,118636,-13756,1306,-830,0,476,0,476,0,5000,1880,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
3585,3953,10589,-123909,-123909,-10589,1005,867,-600,1272,0,1000,0,5000,2000,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3617,6835,12067,14787,14787,-12067,1146,-103,-600,443,0,443,0,5008,2124,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
2561,7003,13059,-7833,-7833,-13059,1240,54,-600,694,0,694,0,5008,2100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2561,7547,13426,-3348,-3348,-13426,1275,23,-600,698,0,698,0,5000,2044,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3617,7947,14361,14257,14257,-14361,1364,-99,-600,665,0,665,0,4992,2172,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
3617,8619,15930,31560,31560,-15930,1513,-220,-600,693,0,693,0,5000,2124,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
3617,9154,17521,41893,41893,-17521,1664,-293,-600,771,0,771,0,4996,2216,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
3617,9828,19122,31772,31772,-19122,1816,-222,-600,994,0,994,0,5000,2172,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
3617,11107,20972,57863,57863,-20972,1992,-405,-600,987,0,987,0,4984,2280,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
3617,12047,23676,109030,109030,-23676,2249,-763,-600,886,0,886,0,5008,2356,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
3617,12201,26436,142439,142439,-26436,2511,-997,-600,914,0,914,0,5008,2380,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
3617,12452,30747,186696,180000,-30747,2920,-1260,-600,1060,0,1000,0,4996,2368,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
FAULT: pitch limit

